demo,page,comment
区域图,areabasic,暂无描述
区域图,areainvert,暂无描述
间断图,areamissing,暂无描述
带复制区域图,areanegative,暂无描述
百分比区域图,areapercent,暂无描述
调整节点,areaspline,暂无描述
调整节点,areastacked,暂无描述
条状图,barbasic,暂无描述
条状图2,barnegative,暂无描述
条状图3,barstacked,暂无描述
典型图,basic,暂无描述
柱状图,columnbasic,暂无描述
柱状图3,columnegative,暂无描述
柱状图4,columnpercent,暂无描述
柱状图5,columnrotate,暂无描述
柱状图6,columnstacked,暂无描述
柱状图7,columnstackgroup,暂无描述
综合图,combo,暂无描述
双坐标,combo_dual_axes,暂无描述
多坐标,combo_multi_axes,暂无描述
综合散点图,combo_scatter,暂无描述
动态图,dynnewpoint,暂无描述
调整节点,labels,暂无描述
饼状图1,pie,暂无描述
饼状图2,piedonut,暂无描述
饼状图3,pielegend,暂无描述
散点图,skatter,暂无描述
曲线图,splineinvert,暂无描述
调整节点,splineplot,暂无描述
带标识曲线图,splinesymbol,暂无描述
sql查询,sql,暂无描述
sql查询2,sqlbar,暂无描述
图标结合,sqlgridchart,暂无描述
时区图,timezoom,暂无描述